[2026-05-17T02:13:18.432Z] [INFO] Starting SPD Milestones REST Microservice | {"port":4000,"environment":"production","mongoUri":"mongodb://mongo:27017/spd","monitoringInterval":"60 minutes","graphqlPath":"/graphql","mode":"REST Microservice"}
[2026-05-17T02:13:18.445Z] [INFO] MongoDB connected successfully | {"uri":"mongodb://mongo:27017/spd"}
[2026-05-17T02:13:18.446Z] [INFO] 🚀 SPD REST Microservice started | {"port":4000,"environment":"production","apiUrl":"http://localhost:4000","mode":"REST Only"}
[2026-05-17T02:13:18.446Z] [INFO] Starting project monitoring | {"intervalMinutes":60}
[2026-05-17T02:13:18.447Z] [INFO] Project monitoring scheduler started | {"checkInterval":"60 minutes"}
[2026-05-17T02:13:18.463Z] [WARN] Critical project detected | {"projectId":"69f726d86dac1655e72089b2","projectName":"DC3 Migration","status":"critical","issues":["2 milestones are overdue"],"overdueMilestones":2,"totalMilestones":10,"completionRate":20}
[2026-05-17T02:13:18.463Z] [INFO] Monitoring report generated | {"totalProjects":1,"critical":1,"warning":0,"healthy":0}
[2026-05-17T02:13:18.463Z] [ERROR] Critical projects detected! | {"count":1,"projects":[{"name":"DC3 Migration","issues":["2 milestones are overdue"]}]}
[2026-05-17T02:13:23.232Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:23.233Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T02:13:24.046Z] [INFO] Starting SPD Milestones GraphQL API Gateway | {"port":4001,"environment":"production","mongoUri":"mongodb://mongo:27017/spd","monitoringInterval":"60 minutes","graphqlPath":"/graphql","mode":"GraphQL API Gateway"}
[2026-05-17T02:13:24.060Z] [INFO] MongoDB connected successfully | {"uri":"mongodb://mongo:27017/spd"}
[2026-05-17T02:13:24.081Z] [INFO] 🚀 SPD GraphQL API Gateway started | {"port":4001,"environment":"production","graphqlUrl":"http://localhost:4001/graphql","mode":"GraphQL Only"}
[2026-05-17T02:13:28.839Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:28.839Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:13:28.966Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:28.966Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:13:53.271Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:53.272Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T02:13:58.895Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:58.896Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T02:13:59.008Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:13:59.008Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:14:23.317Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:14:23.317Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:14:28.954Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:14:28.954Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:14:29.050Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:14:29.051Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:47:14.718Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:47:14.718Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T02:47:20.355Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:47:20.355Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T02:47:20.439Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T02:47:20.440Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T03:08:02.548Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:08:02.549Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T03:08:08.174Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:08:08.174Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T03:08:08.245Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:08:08.245Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T03:12:14.659Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:12:14.660Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T03:12:20.287Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:12:20.288Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200,"duration":"1ms"}
[2026-05-17T03:12:20.336Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
[2026-05-17T03:12:20.337Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health","statusCode":200}
[2026-05-17T03:52:16.566Z] [INFO] HTTP GET /health | {"method":"GET","url":"/health"}
